Crop,Soil_Type,Crop_Growth_Stage,Irrigation_Method,Water_Availability,Soil_Moisture_pct,Temperature_C,Relative_Humidity_pct,Rainfall_24h_mm,Rainfall_7d_mm,ETo_mm_day,Land_Area_ha,Irrigation_Need,Irrigation_Amount_mm_day,Crop_ID,Data_Type
Sugarcane,Sandy Loam,Maturity,Flood,High,49.95,28.52,73.36,0.91,32.49,6.99,10.4,Medium,6.7,SUGARCANE,Synthetic
Potato,Sandy,Flowering,Flood,High,49.68,23.47,58.82,34.53,45.54,7.92,1.82,High,8.78,POTATO,Synthetic
Rice,Sandy Loam,Flowering,Flood,Low,67.31,24.53,56.84,24.79,3.99,6.19,4.52,High,10.04,RICE,Synthetic
Tomato,Clay,Grain Filling,Flood,High,23.94,19.17,55.71,5.13,68.92,6.32,0.49,Medium,8.49,TOMATO,Synthetic
Maize,Clay,Seedling,Flood,Medium,20.01,20.38,88.5,7.12,24.95,2.81,0.33,Low,1.86,MAIZE,Synthetic
Banana,Sandy,Vegetative,Sprinkler,Medium,28.96,24.59,46.06,27.59,32.62,3.4,8.55,Medium,6.38,BANANA,Synthetic
Rice,Clay,Seedling,Flood,Medium,38.35,22.89,64.03,6.69,70.67,7.45,0.82,Medium,7.86,RICE,Synthetic
Maize,Loamy,Vegetative,Flood,Medium,71.77,40.02,32.44,24.68,61.9,5.5,13.4,Medium,6.87,MAIZE,Synthetic
Groundnut,Clay,Flowering,Rainfed,Medium,32.41,26.24,70.08,4.2,100.86,4.77,12.72,Medium,7.72,GROUNDNUT,Synthetic
Maize,Clay Loam,Vegetative,Flood,High,55.16,20.71,67.0,9.96,65.67,5.16,10.85,Medium,6.02,MAIZE,Synthetic
Sugarcane,Sandy Loam,Vegetative,Rainfed,Low,13.28,32.42,54.91,6.23,61.13,4.05,10.71,High,9.1,SUGARCANE,Synthetic
Potato,Sandy Loam,Vegetative,Drip,Medium,39.55,39.65,63.53,31.14,17.43,2.74,0.43,Low,2.52,POTATO,Synthetic
Rice,Clay,Flowering,Sprinkler,Low,46.02,25.71,42.87,22.83,43.16,5.84,0.33,High,11.68,RICE,Synthetic
Groundnut,Sandy Loam,Maturity,Drip,Medium,12.56,32.37,66.86,9.38,92.31,6.87,1.13,Medium,5.88,GROUNDNUT,Synthetic
Banana,Sandy,Maturity,Flood,Medium,67.9,19.27,84.5,5.81,81.93,2.31,17.53,Low,2.2,BANANA,Synthetic
Maize,Loamy,Flowering,Flood,High,40.92,22.0,33.77,1.87,23.98,3.55,18.49,Medium,5.78,MAIZE,Synthetic
Sugarcane,Loamy,Vegetative,Flood,Medium,69.49,21.77,75.51,4.01,58.91,7.8,4.38,High,11.18,SUGARCANE,Synthetic
Sugarcane,Clay,Flowering,Rainfed,High,57.97,21.49,57.68,15.22,33.6,7.74,2.08,High,11.96,SUGARCANE,Synthetic
Soybean,Loamy,Vegetative,Drip,High,59.64,21.36,48.33,6.8,128.44,3.61,0.78,Low,3.61,SOYBEAN,Synthetic
Soybean,Clay,Maturity,Flood,High,56.24,19.93,68.6,2.3,0.85,3.46,14.15,Low,4.16,SOYBEAN,Synthetic
Wheat,Loamy,Maturity,Flood,Medium,56.68,22.87,79.42,9.06,61.86,4.38,14.46,Low,4.01,WHEAT,Synthetic
Maize,Sandy Loam,Vegetative,Drip,Medium,43.46,27.61,70.44,1.42,67.48,6.67,3.09,Medium,8.59,MAIZE,Synthetic
Cotton,Sandy Loam,Flowering,Drip,Medium,17.67,24.07,77.15,15.66,37.86,7.9,0.21,High,12.0,COTTON,Synthetic
Banana,Clay Loam,Flowering,Drip,High,40.81,27.79,46.67,14.37,30.97,5.08,10.93,High,8.09,BANANA,Synthetic
Potato,Clay Loam,Grain Filling,Drip,Low,54.23,24.03,86.57,4.5,108.94,5.56,5.71,Medium,6.8,POTATO,Synthetic
Sugarcane,Loamy,Seedling,Flood,Medium,55.8,18.92,66.81,19.12,48.4,4.73,2.13,Low,2.0,SUGARCANE,Synthetic
Banana,Clay,Seedling,Flood,Low,31.96,32.23,43.41,24.52,66.43,2.25,0.23,Low,5.97,BANANA,Synthetic
Sugarcane,Clay Loam,Grain Filling,Flood,Low,68.9,32.05,35.99,6.37,79.23,6.52,1.23,High,11.83,SUGARCANE,Synthetic
Soybean,Sandy,Flowering,Rainfed,Medium,65.2,27.3,75.46,2.89,1.32,3.74,0.22,Medium,6.17,SOYBEAN,Synthetic
Maize,Loamy,Grain Filling,Flood,High,39.13,40.55,45.58,2.96,96.22,6.41,1.36,High,10.5,MAIZE,Synthetic
Maize,Clay Loam,Vegetative,Flood,Medium,15.94,32.73,87.34,12.86,32.08,7.13,0.52,High,10.29,MAIZE,Synthetic
Groundnut,Clay Loam,Vegetative,Drip,Medium,67.7,36.42,73.39,12.1,155.72,4.58,12.28,Medium,5.84,GROUNDNUT,Synthetic
Soybean,Sandy,Seedling,Rainfed,Medium,43.91,38.5,87.0,15.6,32.2,4.03,0.32,Low,4.43,SOYBEAN,Synthetic
Sugarcane,Loamy,Flowering,Rainfed,High,62.11,27.99,62.44,11.58,24.84,7.68,1.99,High,12.0,SUGARCANE,Synthetic
Banana,Sandy Loam,Seedling,Sprinkler,Low,57.91,25.81,43.46,13.2,177.08,5.82,0.55,Medium,6.98,BANANA,Synthetic
Tomato,Sandy,Vegetative,Sprinkler,Low,24.32,25.88,51.94,1.59,13.63,6.8,1.05,High,10.93,TOMATO,Synthetic
Rice,Loamy,Maturity,Flood,Medium,58.7,39.39,72.67,6.99,7.27,2.24,0.36,Low,4.67,RICE,Synthetic
Potato,Loamy,Flowering,Flood,Low,52.41,19.48,73.72,8.77,40.1,5.16,2.55,Medium,6.63,POTATO,Synthetic
Soybean,Sandy,Maturity,Drip,Medium,61.94,35.22,62.28,12.15,26.43,2.24,10.73,Low,2.1,SOYBEAN,Synthetic
Sugarcane,Loamy,Maturity,Rainfed,Medium,43.28,34.91,52.83,17.19,41.04,5.98,0.41,High,7.56,SUGARCANE,Synthetic
Groundnut,Sandy,Seedling,Drip,Medium,70.8,21.57,54.95,16.3,107.77,4.12,10.65,Low,4.88,GROUNDNUT,Synthetic
Cotton,Loamy,Maturity,Drip,Low,65.53,24.85,34.7,2.47,53.03,2.95,10.61,Low,2.62,COTTON,Synthetic
Tomato,Clay Loam,Vegetative,Drip,Medium,19.65,27.77,49.28,22.14,27.75,3.34,5.86,Medium,6.6,TOMATO,Synthetic
Soybean,Clay,Grain Filling,Flood,High,27.48,33.54,51.8,46.86,77.65,4.98,4.43,Medium,6.2,SOYBEAN,Synthetic
Groundnut,Sandy Loam,Flowering,Flood,High,38.61,36.97,66.94,0.77,98.49,4.23,0.44,Low,4.93,GROUNDNUT,Synthetic
Cotton,Clay Loam,Flowering,Rainfed,Low,24.2,24.62,77.43,14.85,32.09,7.71,0.48,High,12.0,COTTON,Synthetic
Sugarcane,Clay,Grain Filling,Sprinkler,Medium,52.18,19.43,32.69,7.13,126.67,3.14,0.75,Low,4.57,SUGARCANE,Synthetic
Groundnut,Loamy,Vegetative,Flood,High,27.85,37.73,64.39,1.34,58.98,4.97,0.71,Medium,7.2,GROUNDNUT,Synthetic
Groundnut,Clay,Flowering,Flood,Low,36.26,28.17,35.37,12.1,40.98,2.3,1.36,Medium,5.26,GROUNDNUT,Synthetic
Cotton,Sandy Loam,Vegetative,Sprinkler,Medium,34.64,19.96,55.79,6.08,37.04,3.15,10.49,Medium,5.08,COTTON,Synthetic
Soybean,Sandy,Seedling,Flood,Low,63.47,24.5,69.79,25.96,103.11,2.98,7.9,Low,3.6,SOYBEAN,Synthetic
Maize,Clay Loam,Flowering,Drip,Medium,49.74,26.41,33.41,2.94,84.3,7.31,12.39,High,9.83,MAIZE,Synthetic
Soybean,Loamy,Grain Filling,Flood,High,54.83,20.61,42.47,15.65,41.35,3.15,7.47,Low,4.31,SOYBEAN,Synthetic
Wheat,Sandy Loam,Vegetative,Flood,High,68.12,30.55,74.25,7.92,74.31,5.77,1.28,Medium,5.5,WHEAT,Synthetic
Groundnut,Sandy,Seedling,Rainfed,Medium,50.86,39.52,50.22,12.72,24.66,2.61,0.95,Low,3.02,GROUNDNUT,Synthetic
Potato,Sandy Loam,Grain Filling,Sprinkler,Low,65.86,21.38,69.46,11.43,45.48,3.25,0.29,Low,2.25,POTATO,Synthetic
Potato,Clay,Seedling,Sprinkler,High,67.53,24.56,42.03,19.59,22.51,5.38,2.28,Low,4.23,POTATO,Synthetic
Rice,Sandy Loam,Flowering,Sprinkler,High,32.52,37.18,53.59,40.17,42.08,3.59,4.48,Medium,6.57,RICE,Synthetic
Sugarcane,Clay Loam,Grain Filling,Flood,High,14.27,24.17,34.9,1.45,43.96,5.58,0.24,High,8.71,SUGARCANE,Synthetic
Tomato,Sandy,Seedling,Sprinkler,Low,43.26,37.48,48.01,3.58,33.26,3.04,2.69,Low,3.42,TOMATO,Synthetic
Soybean,Clay,Vegetative,Flood,Medium,64.4,20.48,87.14,8.81,27.45,6.02,0.9,Medium,6.82,SOYBEAN,Synthetic
Banana,Sandy Loam,Vegetative,Drip,Medium,14.62,41.75,70.95,1.02,65.81,3.31,12.99,Low,6.42,BANANA,Synthetic
Cotton,Sandy Loam,Flowering,Flood,High,43.48,18.71,64.98,7.05,30.95,4.37,7.57,Medium,6.54,COTTON,Synthetic
Wheat,Clay Loam,Flowering,Sprinkler,High,20.86,36.46,74.24,8.8,5.67,4.33,0.3,Medium,7.33,WHEAT,Synthetic
Wheat,Sandy,Flowering,Flood,High,70.63,30.01,81.14,10.37,55.03,7.43,0.21,High,8.61,WHEAT,Synthetic
Soybean,Sandy,Flowering,Flood,High,37.46,29.95,61.53,32.36,29.74,5.01,0.43,Medium,5.38,SOYBEAN,Synthetic
Tomato,Clay,Flowering,Flood,Medium,27.21,22.53,33.39,11.83,29.47,2.43,3.13,Medium,5.46,TOMATO,Synthetic
Cotton,Loamy,Flowering,Drip,Medium,59.38,39.78,38.01,5.89,18.36,6.29,12.82,High,9.93,COTTON,Synthetic
Potato,Sandy,Vegetative,Flood,Medium,71.72,21.08,73.25,22.03,67.75,4.82,11.61,Low,5.17,POTATO,Synthetic
Sugarcane,Sandy Loam,Vegetative,Rainfed,Medium,43.36,36.0,84.1,12.95,27.88,6.47,13.33,High,8.99,SUGARCANE,Synthetic
Maize,Loamy,Maturity,Flood,High,25.57,37.59,40.9,4.51,68.88,3.02,18.22,Low,4.68,MAIZE,Synthetic
Potato,Loamy,Vegetative,Drip,Medium,25.72,32.21,41.34,4.96,3.73,4.01,0.2,Medium,6.54,POTATO,Synthetic
Potato,Sandy Loam,Vegetative,Flood,Medium,66.33,35.54,35.65,3.26,24.43,6.87,13.3,High,8.98,POTATO,Synthetic
Maize,Clay,Flowering,Flood,Medium,28.97,41.0,37.14,12.61,149.18,2.75,4.42,Low,6.22,MAIZE,Synthetic
Cotton,Clay Loam,Grain Filling,Rainfed,High,48.12,33.65,67.57,4.9,13.11,5.0,3.18,High,8.88,COTTON,Synthetic
Groundnut,Loamy,Grain Filling,Sprinkler,Medium,35.28,21.81,50.74,4.2,68.66,4.39,2.97,Low,6.08,GROUNDNUT,Synthetic
Soybean,Loamy,Grain Filling,Sprinkler,Medium,18.26,35.82,52.37,5.91,86.62,3.11,0.71,Medium,6.26,SOYBEAN,Synthetic
Wheat,Loamy,Vegetative,Rainfed,Medium,16.03,39.12,81.33,7.69,24.84,4.06,3.64,Low,5.63,WHEAT,Synthetic
Sugarcane,Sandy,Grain Filling,Sprinkler,Low,19.65,25.49,32.54,15.55,87.15,7.5,10.99,High,12.0,SUGARCANE,Synthetic
Sugarcane,Clay Loam,Maturity,Flood,Medium,57.11,21.59,75.57,19.23,67.06,7.73,0.38,Medium,7.92,SUGARCANE,Synthetic
Rice,Loamy,Maturity,Drip,High,69.51,22.0,82.75,8.43,20.24,4.64,0.3,Low,3.29,RICE,Synthetic
Banana,Clay,Maturity,Sprinkler,Medium,67.77,28.28,63.06,20.0,69.0,7.26,13.15,Medium,7.07,BANANA,Synthetic
Maize,Clay,Vegetative,Sprinkler,Low,30.04,35.43,36.67,5.31,120.39,7.11,0.66,High,12.0,MAIZE,Synthetic
Groundnut,Loamy,Grain Filling,Rainfed,Low,53.45,24.75,87.79,6.02,144.24,3.84,0.2,Medium,6.64,GROUNDNUT,Synthetic
Banana,Loamy,Grain Filling,Rainfed,Medium,53.87,18.26,34.99,19.86,58.47,2.62,3.94,Low,5.44,BANANA,Synthetic
Maize,Loamy,Vegetative,Flood,Medium,24.23,39.12,51.28,8.97,31.71,5.42,7.21,High,9.16,MAIZE,Synthetic
Wheat,Clay Loam,Flowering,Sprinkler,Medium,17.94,39.73,49.78,8.2,7.82,3.57,11.31,High,7.93,WHEAT,Synthetic
Soybean,Clay,Vegetative,Rainfed,Medium,54.82,28.6,37.64,5.01,40.59,4.76,0.87,Medium,5.4,SOYBEAN,Synthetic
Rice,Clay,Vegetative,Sprinkler,Low,17.37,19.91,40.58,21.67,2.22,6.68,0.43,High,12.0,RICE,Synthetic
Sugarcane,Clay,Grain Filling,Drip,Low,18.91,24.2,79.47,1.33,29.61,6.8,4.64,High,12.0,SUGARCANE,Synthetic
Banana,Loamy,Vegetative,Drip,High,44.24,34.56,51.95,22.85,41.83,5.57,0.52,Medium,7.45,BANANA,Synthetic
Banana,Sandy Loam,Maturity,Flood,Medium,23.77,21.43,76.01,8.28,108.59,7.1,0.84,High,8.31,BANANA,Synthetic
Potato,Loamy,Flowering,Flood,Low,70.61,31.61,65.17,4.88,95.31,4.12,7.46,High,7.9,POTATO,Synthetic
Potato,Sandy,Flowering,Drip,Medium,18.06,24.66,51.88,6.14,70.97,7.71,1.23,High,10.79,POTATO,Synthetic
Soybean,Sandy Loam,Grain Filling,Flood,Low,41.11,30.41,71.57,19.53,37.29,7.7,0.32,High,10.2,SOYBEAN,Synthetic
Rice,Sandy Loam,Maturity,Sprinkler,Medium,46.31,29.62,53.42,19.84,33.6,2.78,8.76,Low,3.5,RICE,Synthetic
Sugarcane,Clay,Vegetative,Rainfed,Medium,71.32,39.56,34.95,3.85,29.69,5.15,0.54,High,7.48,SUGARCANE,Synthetic
Potato,Loamy,Flowering,Flood,Low,61.66,40.35,34.94,1.29,30.64,7.89,1.39,High,12.0,POTATO,Synthetic
Soybean,Loamy,Maturity,Flood,Medium,29.23,21.19,81.08,12.44,80.92,4.18,3.88,Low,3.54,SOYBEAN,Synthetic
Potato,Loamy,Grain Filling,Rainfed,Medium,48.22,22.95,56.94,19.04,78.93,6.85,0.78,Medium,8.16,POTATO,Synthetic
Rice,Sandy,Maturity,Flood,High,14.04,31.25,33.28,12.28,33.17,3.66,0.61,Medium,5.66,RICE,Synthetic
Groundnut,Sandy,Seedling,Rainfed,Medium,27.05,35.48,65.88,2.9,135.62,4.1,7.46,Low,3.7,GROUNDNUT,Synthetic
Soybean,Loamy,Flowering,Sprinkler,Low,26.3,19.94,44.79,37.86,69.76,5.59,18.73,High,8.06,SOYBEAN,Synthetic
Banana,Clay,Vegetative,Sprinkler,Low,48.87,33.29,73.9,5.75,75.52,2.69,0.5,Low,3.53,BANANA,Synthetic
Cotton,Sandy Loam,Flowering,Rainfed,High,57.59,21.82,68.44,0.49,68.64,5.1,2.47,Medium,6.33,COTTON,Synthetic
Maize,Clay Loam,Grain Filling,Sprinkler,Medium,56.69,41.1,48.08,6.0,72.94,4.24,1.56,Low,5.88,MAIZE,Synthetic
Sugarcane,Clay Loam,Flowering,Rainfed,Low,30.37,19.63,38.02,3.31,34.66,7.19,4.27,High,12.0,SUGARCANE,Synthetic
Maize,Clay,Seedling,Rainfed,Medium,23.21,29.02,40.33,8.97,69.46,2.57,0.42,Low,3.81,MAIZE,Synthetic
Soybean,Sandy Loam,Grain Filling,Flood,Low,62.42,21.46,42.32,1.64,7.88,6.03,9.42,High,9.96,SOYBEAN,Synthetic
Tomato,Clay,Seedling,Flood,Low,28.7,41.25,47.42,14.55,43.78,4.7,11.42,High,8.18,TOMATO,Synthetic
Rice,Clay Loam,Grain Filling,Sprinkler,Medium,17.84,23.11,58.87,16.1,111.05,3.16,0.26,Medium,7.59,RICE,Synthetic
Maize,Sandy Loam,Vegetative,Rainfed,High,25.25,21.4,70.32,22.82,44.12,3.74,0.21,Medium,6.99,MAIZE,Synthetic
Cotton,Clay Loam,Flowering,Flood,Medium,13.95,36.31,62.5,4.46,97.54,5.19,10.54,High,9.88,COTTON,Synthetic
Maize,Loamy,Flowering,Sprinkler,High,24.41,21.24,80.49,32.53,45.35,3.26,2.63,Medium,6.47,MAIZE,Synthetic
Wheat,Clay Loam,Flowering,Sprinkler,Medium,20.16,34.53,41.71,4.06,14.66,7.0,1.31,High,11.42,WHEAT,Synthetic
Rice,Loamy,Seedling,Sprinkler,Medium,46.79,38.56,64.58,6.01,54.4,3.4,0.27,Medium,5.73,RICE,Synthetic
Banana,Sandy,Grain Filling,Sprinkler,Low,17.59,25.36,40.73,13.75,121.34,7.58,0.54,High,12.0,BANANA,Synthetic
Maize,Clay Loam,Vegetative,Rainfed,Low,51.54,35.45,53.77,5.02,28.62,2.26,15.11,Low,4.71,MAIZE,Synthetic
Cotton,Loamy,Vegetative,Sprinkler,Medium,18.75,34.87,86.08,7.85,73.1,3.72,9.6,Medium,6.54,COTTON,Synthetic
Soybean,Clay,Vegetative,Flood,Medium,18.46,30.62,69.24,17.68,67.56,3.53,1.83,Medium,5.94,SOYBEAN,Synthetic
Soybean,Loamy,Maturity,Flood,High,57.53,20.54,74.18,14.56,15.16,7.77,1.93,Low,5.72,SOYBEAN,Synthetic
Sugarcane,Clay Loam,Grain Filling,Sprinkler,Medium,42.08,23.16,42.26,5.38,43.88,4.02,0.94,Medium,7.39,SUGARCANE,Synthetic
Rice,Clay Loam,Flowering,Sprinkler,Medium,69.41,20.61,67.7,2.26,42.86,4.02,17.39,Low,5.18,RICE,Synthetic
Groundnut,Sandy Loam,Grain Filling,Sprinkler,High,54.85,40.11,37.39,2.69,56.41,2.25,4.32,Low,3.15,GROUNDNUT,Synthetic
Soybean,Sandy,Flowering,Flood,Low,27.35,27.8,38.71,9.94,30.13,3.57,4.7,High,8.37,SOYBEAN,Synthetic
Soybean,Clay,Vegetative,Drip,Medium,53.74,21.15,84.43,5.33,147.37,5.03,8.19,Low,4.98,SOYBEAN,Synthetic
Soybean,Clay Loam,Flowering,Sprinkler,Low,69.84,40.65,56.1,8.7,113.27,2.35,19.57,Low,4.8,SOYBEAN,Synthetic
Cotton,Sandy Loam,Vegetative,Flood,High,47.5,20.49,60.17,36.0,128.31,2.28,17.45,Low,0.47,COTTON,Synthetic
Sugarcane,Loamy,Vegetative,Flood,Low,38.16,20.79,77.32,8.39,13.3,5.88,0.21,High,10.21,SUGARCANE,Synthetic
Potato,Sandy Loam,Flowering,Drip,High,16.41,39.93,80.88,15.22,48.96,7.83,4.3,High,11.92,POTATO,Synthetic
Sugarcane,Sandy Loam,Vegetative,Drip,Medium,21.7,20.82,89.8,2.9,67.86,7.09,2.16,High,11.7,SUGARCANE,Synthetic
Groundnut,Clay Loam,Vegetative,Sprinkler,Medium,57.62,38.14,86.23,9.72,23.39,6.99,0.93,High,8.54,GROUNDNUT,Synthetic
Maize,Sandy Loam,Grain Filling,Drip,High,20.41,23.74,77.11,14.29,22.74,6.96,0.35,High,10.2,MAIZE,Synthetic
Cotton,Clay Loam,Flowering,Drip,Medium,46.53,41.04,76.43,6.53,85.24,6.47,0.47,High,10.68,COTTON,Synthetic
Potato,Loamy,Vegetative,Rainfed,Medium,68.86,20.24,75.55,47.9,89.79,3.39,12.31,Low,1.5,POTATO,Synthetic
Banana,Sandy,Maturity,Drip,Medium,64.11,37.48,48.32,31.07,25.95,7.44,5.05,High,9.43,BANANA,Synthetic
Cotton,Sandy,Vegetative,Flood,Low,16.88,22.22,48.94,4.44,146.39,5.69,11.4,High,10.19,COTTON,Synthetic
Wheat,Clay Loam,Vegetative,Drip,Low,29.3,31.6,84.89,8.21,82.4,3.48,0.27,Medium,8.42,WHEAT,Synthetic
Wheat,Clay,Vegetative,Drip,Medium,51.44,35.29,89.8,5.25,72.42,4.85,1.4,Medium,6.32,WHEAT,Synthetic
Sugarcane,Clay Loam,Vegetative,Drip,Low,26.16,19.78,81.17,7.73,22.56,4.45,1.43,Medium,5.76,SUGARCANE,Synthetic
Soybean,Clay Loam,Maturity,Drip,High,49.45,33.96,85.02,17.3,18.21,5.26,0.56,Low,5.48,SOYBEAN,Synthetic
Banana,Clay Loam,Maturity,Rainfed,Medium,37.13,36.97,79.53,12.41,46.8,6.34,15.32,High,8.51,BANANA,Synthetic
Banana,Clay Loam,Flowering,Rainfed,High,41.87,24.51,60.09,7.55,95.9,3.31,1.75,Low,5.02,BANANA,Synthetic
Rice,Loamy,Vegetative,Rainfed,Medium,19.45,23.42,74.75,23.37,11.43,5.3,3.18,Medium,7.71,RICE,Synthetic
Potato,Clay Loam,Vegetative,Sprinkler,Medium,67.85,40.79,86.21,6.62,31.75,2.11,2.84,Low,4.6,POTATO,Synthetic
Cotton,Loamy,Grain Filling,Drip,High,68.53,34.77,35.39,4.5,151.55,3.64,16.9,Medium,6.62,COTTON,Synthetic
Maize,Sandy,Maturity,Flood,Medium,53.14,30.03,32.69,8.8,33.32,2.39,0.33,Low,4.43,MAIZE,Synthetic
Soybean,Clay Loam,Flowering,Sprinkler,High,38.37,35.91,73.56,5.37,46.04,6.18,0.26,High,8.33,SOYBEAN,Synthetic
Rice,Clay Loam,Maturity,Drip,High,51.87,30.01,69.04,3.52,10.82,7.98,0.73,Medium,7.75,RICE,Synthetic
Sugarcane,Sandy Loam,Vegetative,Sprinkler,Medium,51.25,40.62,63.89,8.92,69.78,2.07,5.67,Low,3.11,SUGARCANE,Synthetic
Soybean,Clay,Flowering,Drip,Medium,45.27,41.29,58.95,12.91,72.42,2.06,1.09,Low,3.65,SOYBEAN,Synthetic
Cotton,Sandy,Seedling,Drip,Low,34.84,27.71,50.91,7.14,28.82,4.2,0.2,Low,5.22,COTTON,Synthetic
Tomato,Clay Loam,Flowering,Flood,Medium,61.0,22.74,45.58,7.69,42.17,7.26,3.19,High,10.85,TOMATO,Synthetic
Groundnut,Clay,Flowering,Flood,Medium,62.99,22.6,48.62,6.64,90.05,7.26,2.06,High,10.33,GROUNDNUT,Synthetic
Maize,Clay,Grain Filling,Drip,Medium,37.36,35.44,72.05,14.58,67.57,4.11,0.73,Low,4.59,MAIZE,Synthetic
Rice,Clay Loam,Seedling,Drip,Medium,13.5,18.24,59.25,1.92,149.57,7.6,3.95,Medium,7.89,RICE,Synthetic
Soybean,Clay Loam,Vegetative,Drip,Medium,46.76,23.15,34.24,8.98,15.45,2.59,19.27,Low,4.24,SOYBEAN,Synthetic
Cotton,Clay,Grain Filling,Sprinkler,Low,38.51,35.13,48.55,1.89,24.74,6.8,5.17,High,12.0,COTTON,Synthetic
Potato,Loamy,Flowering,Flood,High,53.81,40.33,40.83,10.98,31.06,2.21,3.83,Low,4.78,POTATO,Synthetic
Wheat,Loamy,Maturity,Drip,Medium,12.59,41.72,81.16,13.32,140.18,3.53,6.92,Low,4.75,WHEAT,Synthetic
Soybean,Loamy,Grain Filling,Drip,Medium,24.59,19.62,54.78,8.01,61.65,4.79,0.74,Medium,6.94,SOYBEAN,Synthetic
Wheat,Sandy Loam,Flowering,Sprinkler,Low,35.25,40.52,65.81,4.52,108.03,7.36,8.51,High,11.26,WHEAT,Synthetic
Cotton,Sandy,Grain Filling,Sprinkler,High,44.09,22.65,88.64,13.02,59.13,6.68,0.34,Medium,8.26,COTTON,Synthetic
Banana,Sandy Loam,Seedling,Drip,Medium,36.9,33.43,54.22,12.53,26.06,7.18,9.7,High,9.42,BANANA,Synthetic
Soybean,Clay Loam,Vegetative,Sprinkler,Medium,15.25,39.14,60.43,7.91,30.36,4.0,1.24,High,8.4,SOYBEAN,Synthetic
Maize,Clay,Vegetative,Sprinkler,Medium,15.09,21.92,52.86,23.81,58.04,6.45,0.21,High,9.72,MAIZE,Synthetic
Maize,Clay,Vegetative,Rainfed,Medium,69.98,20.05,67.96,2.61,7.53,7.33,0.25,High,9.55,MAIZE,Synthetic
Banana,Loamy,Flowering,Drip,High,56.71,22.29,79.4,15.47,109.93,7.14,0.29,High,9.44,BANANA,Synthetic
Sugarcane,Loamy,Maturity,Flood,Medium,20.97,39.19,39.37,7.36,40.16,5.74,11.87,High,9.96,SUGARCANE,Synthetic
Groundnut,Sandy Loam,Maturity,Rainfed,High,27.29,21.29,34.92,15.74,50.44,6.26,0.2,Low,4.5,GROUNDNUT,Synthetic
Maize,Sandy Loam,Grain Filling,Flood,Medium,42.63,27.16,61.64,15.1,82.73,3.29,2.95,Low,5.35,MAIZE,Synthetic
Maize,Clay,Vegetative,Sprinkler,Medium,60.63,26.98,79.78,11.45,79.49,3.03,1.37,Low,3.88,MAIZE,Synthetic
Maize,Clay Loam,Grain Filling,Drip,High,36.54,23.93,43.69,8.31,38.81,4.5,14.8,High,8.6,MAIZE,Synthetic
Groundnut,Clay Loam,Vegetative,Flood,Low,38.07,29.41,89.79,4.01,70.4,5.17,4.59,High,8.58,GROUNDNUT,Synthetic
Rice,Sandy Loam,Grain Filling,Flood,High,29.44,39.91,58.35,2.73,48.35,4.16,4.63,Medium,6.24,RICE,Synthetic
Maize,Sandy,Grain Filling,Rainfed,High,46.76,21.21,42.1,0.84,26.83,3.8,0.25,Low,5.77,MAIZE,Synthetic
Rice,Sandy,Grain Filling,Flood,High,18.44,27.58,56.21,5.75,39.04,5.6,15.68,High,9.51,RICE,Synthetic
Potato,Clay,Maturity,Rainfed,High,39.31,30.7,47.96,3.89,59.69,2.49,14.23,Low,2.82,POTATO,Synthetic
Soybean,Clay Loam,Grain Filling,Flood,Medium,12.84,28.91,62.83,4.13,105.02,4.98,7.13,Medium,7.92,SOYBEAN,Synthetic
Banana,Clay Loam,Seedling,Flood,Medium,14.39,39.0,67.09,4.97,123.59,3.49,8.77,Medium,6.14,BANANA,Synthetic
Wheat,Sandy Loam,Grain Filling,Rainfed,Low,12.65,20.16,73.64,2.33,42.98,6.7,6.93,High,11.4,WHEAT,Synthetic
Rice,Loamy,Grain Filling,Sprinkler,Medium,24.38,21.77,75.5,10.12,61.48,7.68,0.2,High,11.1,RICE,Synthetic
Soybean,Clay Loam,Flowering,Drip,Medium,43.43,38.8,38.1,6.23,43.97,7.51,1.3,High,9.72,SOYBEAN,Synthetic
Banana,Sandy Loam,Grain Filling,Rainfed,Low,19.02,33.22,51.36,7.13,17.57,4.78,3.14,High,10.83,BANANA,Synthetic
Sugarcane,Sandy Loam,Flowering,Drip,Medium,62.6,19.05,57.97,2.13,11.89,7.0,1.53,High,10.7,SUGARCANE,Synthetic
Banana,Loamy,Maturity,Flood,Medium,29.27,41.28,68.36,2.04,56.21,7.38,3.54,High,10.91,BANANA,Synthetic
Banana,Sandy Loam,Vegetative,Drip,High,14.59,35.02,61.89,15.4,87.04,2.52,4.39,Medium,5.78,BANANA,Synthetic
Soybean,Clay Loam,Flowering,Drip,Medium,39.91,21.7,69.95,15.37,139.73,7.74,1.71,High,11.29,SOYBEAN,Synthetic
Potato,Sandy Loam,Vegetative,Rainfed,Low,13.01,25.95,62.89,1.89,62.23,6.91,0.7,High,9.19,POTATO,Synthetic
Soybean,Sandy,Vegetative,Sprinkler,Low,51.03,30.38,52.65,10.07,43.39,3.74,6.18,Low,5.29,SOYBEAN,Synthetic
Potato,Clay,Vegetative,Flood,High,63.32,19.48,48.13,16.54,25.44,5.88,4.65,Medium,7.42,POTATO,Synthetic
Soybean,Clay,Flowering,Drip,Low,18.2,22.13,57.8,13.72,161.17,2.82,2.83,Low,5.8,SOYBEAN,Synthetic
